"views","date_id","candidate"
35227,20160220,"Clinton"
18,20151213,"Clinton"
1051,20160115,"Clinton"
222,20160221,"Clinton"
4469,20151101,"Trump"
12218,20160324,"Trump"
109,20160501,"Clinton"
13293,20160427,"Trump"
317,20160301,"Clinton"
439,20160226,"Clinton"
1080,20160128,"Clinton"
5757,20160502,"Trump"
8125,20160205,"Clinton"
269,20160227,"Clinton"
32647,20160222,"Trump"
4412,20151125,"Clinton"
135,20160220,"Clinton"
29,20160117,"Clinton"
102,20160113,"Clinton"
145,20160201,"Clinton"
1002,20151206,"Trump"
181,20151210,"Clinton"
6262,20160521,"Trump"
9942,20160414,"Trump"
7861,20160404,"Clinton"
5948,20160409,"Trump"
4828,20151112,"Trump"
1050,20151029,"Trump"
149,20160115,"Clinton"
3329,20151203,"Trump"
1238,20151125,"Clinton"
19534,20160305,"Trump"
379,20160221,"Clinton"
70,20160501,"Clinton"
9409,20160130,"Trump"
273,20160128,"Clinton"
6346,20160124,"Trump"
6895,20160402,"Trump"
8690,20160331,"Trump"
17737,20160422,"Trump"
676,20160220,"Clinton"
549,20160404,"Clinton"
7356,20160206,"Trump"
21403,20160225,"Trump"
48,20160501,"Trump"
12627,20160421,"Trump"
948,20151229,"Trump"
4509,20151121,"Trump"
2830,20151230,"Clinton"
10630,20160325,"Trump"
18075,20160423,"Trump"
62008,20160122,"Trump"
979,20151103,"Trump"
909,20151118,"Trump"
18351,20160312,"Trump"
39337,20160131,"Trump"
6738,20160104,"Clinton"
0,20151125,"Clinton"
6353,20160109,"Trump"
7947,20160524,"Trump"
1491,20151215,"Trump"
7227,20151120,"Clinton"
27,20151230,"Clinton"
7842,20160129,"Trump"
377,20160404,"Clinton"
6971,20160413,"Trump"
25612,20160306,"Trump"
60,20160104,"Clinton"
4191,20151031,"Trump"
7943,20160430,"Trump"
12224,20151119,"Clinton"
36981,20160314,"Trump"
5913,20151223,"Trump"
14881,20160318,"Trump"
70831,20151101,"Clinton"
9365,20160324,"Clinton"
